match_id,ID,first name,last name,team_name,minute,yellow card,red card,2nd yellow card,match_period
M-2022-60,P-90908,Antoine,Griezmann,France,43',1,0,0,first half
M-2022-60,P-97778,Ousmane,Dembélé,France,46',1,0,0,second half
M-2022-60,P-09867,Théo,Hernandez,France,82',1,0,0,second half
M-2022-60,P-02465,Harry,Maguire,England,90',1,0,0,second half
M-2022-61,P-99988,Dominik,Livakovic,Croatia,32',1,0,0,first half
M-2022-61,P-07670,Mateo,Kovacic,Croatia,32',1,0,0,first half
M-2022-61,P-79650,Cristian,Romero,Argentina,68',1,0,0,second half
M-2022-61,P-49114,Nicolás,Otamendi,Argentina,71',1,0,0,second half
M-2022-62,P-59033,Sofiane,Boufal,Morocco,27',1,0,0,first half
M-2022-63,P-40619,Azzedine,Ounahi,Morocco,69',1,0,0,second half
M-2022-63,P-23330,Selim,Amallah,Morocco,84',1,0,0,second half
M-2022-64,P-27582,Leandro,Paredes,Argentina,114',1,0,0,"extra time, second half"
M-2022-64,P-91431,Gonzalo,Montiel,Argentina,116',1,0,0,"extra time, second half"
M-2022-64,P-13162,Emiliano,Martínez,Argentina,120'+5',1,0,0,"extra time, second half, stoppage time"
M-2022-64,P-10739,Enzo,Fernández,Argentina,45'+7',1,0,0,"first half, stoppage time"
M-2022-64,P-57401,Adrien,Rabiot,France,55',1,0,0,second half
M-2022-64,P-13613,Marcus,Thuram,France,87',1,0,0,second half
M-2022-64,P-89750,Olivier,Giroud,France,90'+5',1,0,0,"second half, stoppage time"
M-2022-64,P-73712,Marcos,Acuña,Argentina,90'+8',1,0,0,"second half, stoppage time"
